Hylak_id,Lake_area,glacier_lake_id,rgi_name,area0_km2,lat,lon
65592,1.47,29054,Alaska,1.469505868278429,58.8877,-137.79
1287983,0.35,33420,Scandinavia,0.284810848528415,60.0046,6.19495
1273232,0.21,33839,Scandinavia,0.178952715752557,61.8892,7.36749
1230049,0.16,108423,Scandinavia,0.207884809764498,65.4492,13.0902
19178,2.12,25007,Arctic Canada South,3.420717496287612,71.5715,-77.9948
1272273,0.89,33995,Scandinavia,0.837454089810174,61.9841,7.59507
952868,0.29,6473,Western Canada and USA,0.290775894028621,50.5066,-122.833
156742,3.31,33593,Scandinavia,3.009248821463203,60.0582,6.86644
967159,0.63,6605,Western Canada and USA,0.621403337598498,49.8134,-122.581
692069,0.51,29030,Alaska,14.237431299,58.7925,-137.877
669458,0.3,110091,Arctic Canada South,0.310604662857392,59.4501,-63.9575
1266418,0.3,107972,Scandinavia,0.371108289100922,62.4799,7.35599
1091134,0.53,10862,Low Latitudes,0.755248165598912,-11.7092,-75.2653
1283435,0.46,33794,Scandinavia,0.492070186635063,60.5778,7.30521
1265931,0.2,107989,Scandinavia,0.246261904850525,62.5175,7.80699
1276691,0.17,34246,Scandinavia,0.118071863896533,61.5051,7.91634
782373,0.17,31151,Alaska,0.186906632273109,55.8555,-129.378
1211333,0.42,35004,Scandinavia,0.309559981395504,67.1837,16.0725
723672,0.29,10050,Western Canada and USA,0.259154857670655,57.8422,-126.863
722805,0.37,10052,Western Canada and USA,0.369078756063318,57.8669,-126.858
1375837,0.73,94643,Central Asia,0.74543802099152,31.7474,94.7909
208109,0.15,111162,Arctic Canada South,0.187107707019977,71.4403,-76.8914
690489,0.15,29194,Alaska,0.17276073854165,58.8418,-136.684
1262487,0.54,108264,Scandinavia,0.629505492698394,62.7646,9.27701
508220,0.19,110334,Arctic Canada South,0.294818476400178,63.6627,-64.8409
1382079,0.3,93590,South Asia East,0.347562633933643,27.9067,90.8119
62806,1.3,28849,Alaska,1.55800404659662,59.6306,-138.365
1199800,0.81,35144,Scandinavia,0.762282321171283,68.1015,16.9424
1268244,0.16,34695,Scandinavia,0.147135569574625,62.3258,9.35893
62017,1.16,110131,Arctic Canada South,1.264332156517132,59.838,-64.348
140791,3.96,34974,Scandinavia,3.800244920349064,67.4264,15.8942
1287682,0.37,106727,Scandinavia,0.962096993464845,60.0396,6.99957
1217697,0.32,108783,Scandinavia,0.459346718069538,66.561,13.9938
154212,1.7,107882,Scandinavia,1.904921570333551,61.4964,8.45847
1283226,0.2,107265,Scandinavia,0.239911609490314,60.5998,7.33642
1093128,0.79,9464,Low Latitudes,0.848606350070491,-13.8191,-70.5935
739257,0.44,101645,Alaska,0.494748332563237,57.3489,-130.589
827215,0.69,2424,Western Canada and USA,0.63982540722579,54.5255,-121.105
1231161,0.16,108439,Scandinavia,0.211318588904997,65.3425,13.1501
505885,0.96,110318,Arctic Canada South,0.988799353304781,63.7151,-64.7265
153580,4.19,107608,Scandinavia,5.076692830873498,61.8302,7.40923
